date,visit_count,visit_mean,ed_count,triage_completeness,cedis_completeness,diagnosis_completeness,disposition_completeness
2022-10-23,2337,93,25,97,67,53,68
2022-10-22,2462,98,25,98,63,53,67
2022-10-21,2580,103,25,97,67,56,72
2022-10-20,2528,101,25,96,69,59,72
2022-10-19,2469,98,25,96,67,60,71
2022-10-18,2581,103,25,96,68,61,72
2022-10-17,2866,114,25,96,68,62,71
2022-10-16,2474,98,25,97,68,62,70
2022-10-15,2557,102,25,98,67,60,70
2022-10-14,2703,108,25,97,66,64,72
2022-10-13,2459,98,25,97,67,65,73
2022-10-12,2459,98,25,96,69,67,71
2022-10-11,2494,99,25,96,68,69,74
2022-10-10,2889,115,25,96,67,67,72
2022-10-09,2310,92,25,97,71,67,71
2022-10-08,2435,97,25,97,68,65,70
2022-10-07,2657,106,25,96,70,66,70
2022-10-06,2643,105,25,96,67,68,70
2022-10-05,2621,104,25,96,67,66,71
2022-10-04,2794,111,25,96,69,66,70
2022-10-03,2469,98,25,97,68,68,68
2022-10-02,2563,102,25,97,67,65,70
2022-10-01,2537,101,25,97,66,66,70
2022-09-30,2765,110,25,96,68,71,71
2022-09-29,2583,103,25,96,67,73,70
2022-09-28,2444,97,25,96,66,72,70
2022-09-27,2509,100,25,97,65,72,71
2022-09-26,2752,110,25,97,68,72,71
2022-09-25,2296,91,25,97,67,71,71
2022-09-24,2428,97,25,97,66,69,69
2022-09-23,2582,103,25,96,66,71,70
2022-09-22,2480,99,25,96,65,72,72
2022-09-21,2429,97,25,97,69,70,70
2022-09-20,2402,96,25,95,69,72,72
2022-09-19,2482,99,25,97,69,72,74
2022-09-18,2137,85,25,97,66,70,70
2022-09-17,2283,91,25,98,66,71,69
2022-09-16,2581,103,25,96,69,72,73
2022-09-15,2496,99,25,96,68,70,72
2022-09-14,2466,98,25,97,68,72,70
2022-09-13,2573,102,25,97,70,72,71
2022-09-12,2870,114,25,96,67,71,72
2022-09-11,2371,94,25,98,67,69,71
2022-09-10,2424,96,25,97,70,68,73
2022-09-09,2607,104,25,97,69,73,72
2022-09-08,2464,98,25,97,72,72,71
2022-09-07,2498,99,25,96,68,70,72
2022-09-06,2630,105,25,97,68,70,72
2022-09-05,2801,112,25,97,69,69,73
2022-09-04,2519,100,25,97,71,68,70
2022-09-03,2473,98,25,98,69,66,69
2022-09-02,2584,103,25,96,69,67,72
2022-09-01,2547,101,25,97,69,69,74
2022-08-31,2308,92,25,96,72,70,71
2022-08-30,2488,99,25,96,71,72,72
2022-08-29,2772,110,25,97,70,70,72
2022-08-28,2480,99,25,96,68,69,70
2022-08-27,2332,93,25,97,70,68,70
2022-08-26,2735,109,25,97,70,67,72
2022-08-25,2629,105,25,97,70,69,72
2022-08-24,2584,103,25,97,70,69,73
2022-08-23,2538,101,25,96,70,70,73
2022-08-22,2907,116,25,97,71,68,71
2022-08-21,2331,93,25,98,69,67,71
2022-08-20,2509,100,25,96,69,67,68
2022-08-19,2550,102,25,96,70,68,73
2022-08-18,2397,95,25,97,69,69,75
2022-08-17,2606,104,25,96,70,68,72
2022-08-16,2758,110,25,98,70,68,72
2022-08-15,2730,109,25,97,70,65,72
2022-08-14,2579,103,25,97,69,64,70
2022-08-13,2592,103,25,97,67,65,71
2022-08-12,2656,106,25,97,68,65,73
2022-08-11,2583,103,25,98,70,68,71
2022-08-10,2446,97,25,96,68,69,72
2022-08-09,2667,106,25,96,69,69,71
2022-08-08,2876,115,25,96,69,67,73
2022-08-07,2494,99,25,98,66,65,70
2022-08-06,2505,100,25,98,69,67,69
2022-08-05,2750,110,25,97,71,66,70
2022-08-04,2538,101,25,97,70,68,73
2022-08-03,2506,100,25,97,71,67,72
2022-08-02,2578,103,25,97,67,67,72
2022-08-01,2742,109,25,97,69,69,73
2022-07-31,2460,98,25,97,68,68,70
2022-07-30,2597,103,25,97,68,66,71
2022-07-29,2777,111,25,97,69,68,72
2022-07-28,2677,107,25,97,70,67,73
2022-07-27,2515,100,25,97,69,67,70
2022-07-26,2695,107,25,97,67,67,71
2022-07-25,2976,119,25,96,69,69,72
2022-07-24,2604,104,25,97,66,66,70
2022-07-23,2717,108,25,97,67,64,69
2022-07-22,2840,113,25,96,69,67,71
2022-07-21,2658,106,25,97,70,69,72
2022-07-20,2645,105,25,97,66,68,74
2022-07-19,2620,104,25,97,68,67,71
2022-07-18,2932,117,25,97,70,68,71
2022-07-17,2609,104,25,97,69,69,70
2022-07-16,2520,100,25,96,65,66,69
2022-07-15,2742,109,25,96,67,66,71
2022-07-14,2605,104,25,96,69,66,71
2022-07-13,2600,104,25,96,68,66,70
2022-07-12,2706,108,25,96,67,66,72
2022-07-11,2839,113,25,96,70,66,73
2022-07-10,2462,98,25,96,70,65,70
2022-07-09,2610,104,25,97,67,63,69
2022-07-08,2747,109,25,97,70,64,73
2022-07-07,2535,101,25,96,71,67,72
2022-07-06,2614,104,25,96,69,65,71
2022-07-05,2694,107,25,96,70,65,72
2022-07-04,2873,114,25,95,70,66,73
2022-07-03,2610,104,25,97,70,66,71
2022-07-02,2814,112,25,97,66,63,70
2022-07-01,2764,110,25,96,69,63,70
2022-06-30,2725,109,25,96,70,66,73
2022-06-29,2753,110,25,97,69,65,72
2022-06-28,2708,108,25,97,69,66,71
2022-06-27,2953,118,25,97,70,62,71
2022-06-26,2680,107,25,95,67,60,70
2022-06-25,2864,114,25,97,69,62,70
2022-06-24,2844,113,25,96,68,63,72
2022-06-23,2719,108,25,96,69,64,71
2022-06-22,2651,106,25,97,72,65,72
2022-06-21,2802,112,25,96,71,65,71
2022-06-20,2893,115,25,96,70,66,71
2022-06-19,2544,101,25,97,71,65,71
2022-06-18,2694,107,25,97,69,60,70
2022-06-17,2965,118,25,97,66,62,71
2022-06-16,2568,102,25,97,70,65,71
